,state,county,Per Capita Income 2021,Adjusted Per Capita Personal Income 2021,Count of Associate Degrees,Count of Bachelor Degrees or Higher,Percent of No College,Percent of Associate Degrees,Percent of Bachelor Degrees of Higher,costIndex,Lat,Lng
0,VA,"Arlington, VA",107603,105700.39,19573,132394,12.949999999999989,11.21,75.84,101.8,38.8903961,-77.0841585
1,VA,"Loudoun, VA",90254,88658.15,52006,160853,18.46,19.92,61.62,101.8,39.0984586,-77.6705008
2,VA,"Henrico, VA",74650,73330.06,60829,101632,29.250000000000007,26.49,44.26,101.8,37.4957023,-77.335257
3,VA,"Goochland, VA",110781,108822.2,4586,7705,30.120000000000005,26.07,43.81,101.8,37.6824439,-77.884925
4,VA,"Stafford, VA",62954,61840.86,28316,39872,29.29,29.36,41.35,101.8,38.4222681,-77.4084067
5,VA,"Hanover, VA",68934,67715.13,20623,29774,31.749999999999993,27.93,40.32,101.8,37.766531,-77.3702584
6,VA,"Chesterfield, VA",61200,60117.88,69141,94139,30.53,29.42,40.05,101.8,37.3770935,-77.5058196
7,VA,"Fauquier, VA",78810,77416.5,15045,17838,32.38,30.94,36.68,101.8,38.7513714,-77.8141221
8,VA,"Fluvanna, VA",53612,52664.05,6531,7039,31.369999999999997,33.03,35.6,101.8,37.8488527,-78.2789994
9,VA,"King George, VA",62077,60979.37,5349,6294,34.410000000000004,30.13,35.46,101.8,38.2681837,-77.1844222
10,VA,"Clarke, VA",75403,74069.74,2968,3670,37.3,28.03,34.67,101.8,39.119728,-77.9926448
11,VA,"Rappahannock, VA",76181,74833.99,1706,1872,34.8,31.09,34.11,101.8,38.6926326,-78.1495818
12,VA,"Lancaster, VA",70474,69227.9,2220,2922,40.300000000000004,25.77,33.93,101.8,37.7698602,-76.4663391
13,VA,"Northumberland, VA",63005,61890.96,2761,3178,39.05,28.34,32.61,101.8,37.9314992,-76.4836686
14,VA,"New Kent, VA",90086,88493.12,5068,5276,37.13,30.8,32.07,101.8,37.5178648,-76.9783631
15,VA,"Nelson, VA",63085,61969.55,2026,3431,50.88000000000001,18.24,30.88,101.8,36.5623629,-78.7047266
16,VA,"Bedford, VA",53861,52908.64,17720,17699,38.26,30.89,30.85,101.8,37.3344561,-79.5235083
17,VA,"Highland, VA",50196,49308.45,402,520,45.56999999999999,23.73,30.7,101.8,37.1648454,-80.6786765
18,VA,"Powhatan, VA",67031,65845.78,6303,6680,40.57000000000001,28.85,30.58,101.8,37.5420237,-77.9190619
19,VA,"Greene, VA",51152,50247.54,3856,4106,41.879999999999995,28.15,29.97,101.8,38.2954503,-78.4704823
20,VA,"Mathews, VA",66906,65722.99,2383,1982,36.0,34.94,29.06,101.8,37.4337395,-76.32107
21,VA,"Isle of Wight, VA",63005,61890.96,8300,7470,40.83,31.14,28.03,101.8,36.8953677,-76.7248143
22,VA,"Botetourt, VA",57997,56971.51,7988,6643,40.76,32.34,26.9,101.8,37.5520825,-79.8029569
23,VA,"Middlesex, VA",59146,58100.2,2536,2221,42.47,30.67,26.86,101.8,37.5792995,-75.8368758
24,VA,"Northampton, VA",63928,62797.64,2169,2291,49.1,24.75,26.15,101.8,37.0451503,-76.4238374
25,VA,"King and Queen, VA",55935,54945.97,1551,1393,45.41,28.76,25.83,101.8,37.7196754,-76.8794158
26,VA,"Orange, VA",57849,56826.13,7190,6671,46.57999999999999,27.71,25.71,101.8,38.2454106,-78.1108342
27,VA,"Prince Edward, VA",38883,38195.48,3374,3358,48.97,25.58,25.45,101.8,37.2293293,-78.4628573
